2016-04-26 17:50:24 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\santehych.test\www\catalog\controller\common\content_head.php on line 46
2016-04-26 17:50:24 - PHP Notice:  Error: MySQL server has gone away<br />Error No: 2006<br />SELECT * FROM oc_module WHERE module_id = '31' in C:\xampp\htdocs\santehych.test\www\system\library\db\mysqli.php on line 41
2016-04-26 17:50:24 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\santehych.test\www\catalog\model\extension\module.php on line 6
2016-04-27 12:35:28 - PHP Notice:  Undefined index: column in C:\xampp\htdocs\santehych.test\www\admin\model\catalog\category.php on line 6
2016-04-27 12:35:28 - PHP Notice:  Undefined index: sort_order in C:\xampp\htdocs\santehych.test\www\admin\model\catalog\category.php on line 6
2016-04-27 12:35:28 - PHP Notice:  Undefined index: status in C:\xampp\htdocs\santehych.test\www\admin\model\catalog\category.php on line 6
2016-04-27 12:38:48 - PHP Notice:  Error: Duplicate entry '60-0' for key 'PRIMARY'<br />Error No: 1062<br />INSERT INTO oc_category_to_store SET category_id = '60', store_id = '0' in C:\xampp\htdocs\santehych.test\www\system\library\db\mysqli.php on line 41
2016-04-27 12:38:49 - PHP Notice:  Error: Duplicate entry '60-0' for key 'PRIMARY'<br />Error No: 1062<br />INSERT INTO oc_category_to_store SET category_id = '60', store_id = '0' in C:\xampp\htdocs\santehych.test\www\system\library\db\mysqli.php on line 41
2016-04-27 12:38:58 - PHP Notice:  Error: Duplicate entry '60-0' for key 'PRIMARY'<br />Error No: 1062<br />INSERT INTO oc_category_to_store SET category_id = '60', store_id = '0' in C:\xampp\htdocs\santehych.test\www\system\library\db\mysqli.php on line 41
2016-04-27 12:39:02 - PHP Notice:  Error: Duplicate entry '60-1' for key 'PRIMARY'<br />Error No: 1062<br />INSERT INTO oc_category_to_store SET category_id = '60', store_id = '1' in C:\xampp\htdocs\santehych.test\www\system\library\db\mysqli.php on line 41
2016-04-27 12:39:15 - PHP Notice:  Error: Duplicate entry '60-1' for key 'PRIMARY'<br />Error No: 1062<br />INSERT INTO oc_category_to_store SET category_id = '60', store_id = '1' in C:\xampp\htdocs\santehych.test\www\system\library\db\mysqli.php on line 41
2016-04-28 15:28:53 - PHP Unknown:  Object of class ControllerCommonImport could not be converted to string in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 27
2016-04-28 15:28:53 - PHP Notice:  Object of class ControllerCommonImport to string conversion in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 27
2016-04-28 15:28:53 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 27
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 16:51:08 - PHP Notice:  Undefined variable: index in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 82
2016-04-28 19:24:16 - PHP Notice:  Undefined offset: 0 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:24:16 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:24:16 - PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:24:16 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:24:16 - PHP Notice:  Undefined offset: 2 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:24:16 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:24:16 - PHP Notice:  Undefined offset: 3 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:24:16 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:29:51 - PHP Notice:  Undefined offset: 0 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:29:51 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:29:51 - PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:29:51 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:29:51 - PHP Notice:  Undefined index: ﻿Материалы in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 93
2016-04-28 19:29:51 - PHP Notice:  Undefined offset: 2 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:29:51 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:29:51 - PHP Notice:  Undefined index: Ванны in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 93
2016-04-28 19:29:51 - PHP Notice:  Undefined offset: 3 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:29:51 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 84
2016-04-28 19:29:51 - PHP Notice:  Undefined index: Ванны ФФФФФ in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 93
2016-04-28 19:48:24 - PHP Notice:  Undefined index: ﻿Материалы in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 94
2016-04-28 19:48:24 - PHP Notice:  Undefined index: Ванны in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 94
2016-04-28 19:48:24 - PHP Notice:  Undefined index: Ванны ФФФФФ in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 94
2016-04-28 19:58:33 - PHP Notice:  Undefined offset: 0 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 19:58:33 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 19:58:33 - PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 19:58:33 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 19:58:33 - PHP Notice:  Undefined index: ﻿Материалы in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 94
2016-04-28 19:58:33 - PHP Notice:  Undefined offset: 2 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 19:58:33 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 19:58:33 - PHP Notice:  Undefined index: Ванны in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 94
2016-04-28 19:58:33 - PHP Notice:  Undefined offset: 3 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 19:58:33 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 19:58:33 - PHP Notice:  Undefined index: Ванны ФФФФФ in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 94
2016-04-28 20:01:55 - PHP Notice:  Undefined offset: 0 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 20:01:55 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 20:02:08 - PHP Notice:  Undefined offset: 1 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 20:02:08 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 20:02:16 - PHP Notice:  Undefined index: ﻿Материалы in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 94
2016-04-28 20:02:39 - PHP Notice:  Undefined offset: 2 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 20:02:39 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 20:02:43 - PHP Notice:  Undefined index: Ванны in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 94
2016-04-28 20:02:44 - PHP Notice:  Undefined offset: 3 in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 20:02:44 - PHP Warning:  array_key_exists() expects parameter 2 to be array, null given in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 85
2016-04-28 20:02:48 - PHP Notice:  Undefined index: Ванны ФФФФФ in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 94
2016-04-29 8:21:41 - PHP Unknown:  Object of class ControllerCommonImport could not be converted to string in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 39
2016-04-29 8:21:41 - PHP Notice:  Object of class ControllerCommonImport to string conversion in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 39
2016-04-29 8:21:41 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\santehych.test\www\admin\controller\common\import.php on line 39
2016-04-29 20:45:41 - PHP Notice:  Undefined variable: response in C:\xampp\htdocs\importxml\index.php on line 170
2016-04-29 21:53:28 - PHP Notice:  Undefined variable: parentid in C:\xampp\htdocs\importxml\model\catalog\import.php on line 10
